"","BL","V04","V06","V08","V10"
"ACTN4",0.145185409628378,-0.124895454545455,0.013015379403794,0.00423913043478263,0.0906741379310345
"ADA",-0.216250935828877,0.114333429951691,-0.406506608054453,-0.802172872340426,-0.630403804347826
"ADAM23",-0.0657560160427808,0.0630537198067633,-0.0611736245036869,-0.285899069148936,-0.220431077075099
"ADGRE2",-0.141996149156675,0.185290909090909,-0.280496722689076,-0.487534393939394,-0.509388349007315
"AGER",0.00421522048364142,0.161625,-0.329330280112045,-0.247560909090909,-0.28941551724138
"AGRN",0.0671277077829711,0.11145,0.312907591036415,0.128462878787879,0.152092319749216
"AGRP",-0.67334670231729,-0.231006473429952,-0.980023170731707,-1.30288962765957,-1.60889184782609
"ALDH3A1",0.626038691384951,0.198963492063492,0.501301819363223,0.991625,1.60772672203224
"AMBN",0.0354906672297298,0.172054545454545,0.0743681571815718,0.0291154891304348,0.172239367816092
"AMN",0.139189653716216,-0.0358590909090909,0.306723983739837,0.427047282608696,0.724727011494253
"ANGPT1",0.0729652204836417,0.1088,-0.105028963585434,-0.138866818181818,0.1608131661442
"ANGPTL2",-0.337480197114407,0.259668181818182,-0.442608599439776,-0.642902727272727,-0.718470950888192
"ANGPTL4",0.0459825645194066,0.219111363636364,0.0261680392156863,-0.233681666666667,0.0210210553814002
"ANXA11",-0.559950076335878,-0.0794333333333335,-0.636687426900585,-0.859255357142857,-1.41583790913532
"AOC1",0.205395143581081,0.068915909090909,0.329567615176152,0.554222554347826,0.589018103448276
"ARHGEF12",-0.120558015267176,0.00942888888888888,-0.121870142949968,-0.177891071428571,-0.287189447972643
"ARNT",0.371786739864865,0.0786181818181818,0.409869241192412,0.719870923913043,1.04141408045977
"ARTN",0.147405194256757,-0.0561318181818182,0.0555050135501355,0.123223097826087,0.277740086206897
"ATP5IF1",-0.305506716114611,0.0273113636363636,-0.504927955182073,-0.792089393939394,-1.03674028213166
"AXIN1",-0.134504176663032,-0.193359365079365,-0.196613547758285,-0.276970833333333,-0.27458397655105
"B4GALT1",-0.254217374517375,0.310275,-0.407689607843137,-0.813221363636364,-1.00713887147335
"BACH1",-0.128694307524537,-0.148538412698413,-0.125957602339181,-0.327503869047619,-0.221341231069858
"BANK1",0.162246423118866,-0.108027936507937,-0.0982974009096818,0.284789880952381,-0.0753759648265755
"BCL2L11",0.000424209378408147,0.0936406349206349,0.0710173164392462,0.0764169642857144,-0.0514673668783585
"BCR",-0.0194515049073064,-0.0187149206349206,-0.128847433398311,0.00271904761904762,-0.171268392769907
"BID",-0.702239792802618,-0.00313301587301584,-0.739529142300195,-1.22549285714286,-1.73422232535418
"BSG",-0.0410944741532977,0.073748309178744,-0.178552779353375,-0.526462765957447,-0.205342687747036
"BTN2A1",0.104959276569803,0.144679545454546,0.15805644257703,0.00452999999999992,0.199659613375131
"BTN3A2",-0.122699781897492,0.100657777777778,-0.0880298895386615,-0.44135119047619,-0.250663019052272
"C1QA",-0.244564215686274,-0.0746714009661833,-0.263657742484401,-0.560099335106383,-0.366179496047431
"CASP2",0.097455757906216,0.0109361904761904,-0.0218947693307342,0.106708928571429,0.133413483146067
"CCL11",0.101318449197861,0.103587729468599,-0.237789194554736,-0.320701329787234,0.0451482213438741
"CCL13",0.111155258467024,0.592320096618359,-0.284204707884287,-0.691832978723404,0.0134461462450606
"CCL17",-0.530439016460069,-0.203581818181818,-0.838808459383754,-0.726377272727273,-1.5532078892372
"CCL20",-0.14051568627451,0.333655652173913,-0.120101020986954,-0.0329465425531916,0.086134980237154
"CCL21",-0.130974649461492,0.291940909090909,-0.293029159663866,-0.595922121212121,-0.385821943573668
"CCL22",-0.949053413940256,-0.0337590909090908,-1.30210658263305,-1.53682863636364,-2.17009618599791
"CCL23",-0.240030471448892,0.0643750000000001,-0.563962464985995,-0.78127696969697,-0.751582445141066
"CCL24",0.160958260516155,0.211581818181818,-0.400757927170868,-0.545094696969697,0.0441641065830725
"CCL25",-0.19984696969697,-0.153905893719807,-0.253490017016449,-0.815341223404256,-0.946556669960475
"CCL26",-1.0530573827699,0.171629841269841,-1.02189207277453,-1.11198422619048,-2.26087557401075
"CCL28",-0.258534023991276,-0.0906174603174603,-0.469969558154646,-0.493361309523809,-0.715892379091353
"CCL3",-0.585493805888768,-0.0881926984126986,-0.385442820012996,-0.814790476190476,-1.30892574499267
"CCL4",-0.224353464742938,-0.180440909090909,-0.250253585434174,-0.376055151515152,-0.494868495297806
"CCL7",0.067860370774264,0.0183066666666667,-0.002311371020143,-0.00101428571428563,0.18257581827064
"CCN2",-0.171139209510262,0.0474545454545456,-0.196438655462185,-0.42592,-0.43811342737722
"CD160",-0.136054411764706,-0.133534879227054,-0.275322093023256,-0.515217686170213,-0.330885424901186
"CD200",-0.119687044711014,0.128364444444444,-0.0738799545159194,-0.343555357142857,-0.239392916463117
"CD200R1",-0.126044972737187,0.0550717460317456,-0.245682910981157,-0.280535119047619,-0.185965852467024
"CD22",-0.120911631016043,-0.0233542028985507,-0.414158167895633,-0.275849468085107,-0.544374950592885
"CD244",-0.12501524064171,-0.18834193236715,-0.219578502552467,-0.35644335106383,-0.35767435770751
"CD276",0.0315952550294656,0.284361363636364,-0.0470993277310925,-0.221133333333333,-0.134117554858934
"CD4",0.194269989094875,0.0514196825396827,0.17866400259909,0.246044345238095,0.58012481680508
"CD40",-0.0623978764478763,0.0714931818181819,-0.169989103641456,-0.389391515151515,-0.225225548589342
"CD40LG",0.0900203654188947,-0.0178214492753623,0.150525467952354,0.125542287234042,0.125746640316206
"CD48",-0.229520666531193,0.075134090909091,-0.317298487394958,-0.290792272727273,-0.490243834900731
"CD58",-0.0870846779109937,0.116943181818182,-0.162961820728291,-0.350555303030303,-0.294292424242424
"CD6",0.121128743315508,0.10205458937198,-0.286975241066365,-0.154470212765958,-0.179593577075099
"CD70",0.036813336968375,0.0506377777777778,0.120361825860948,0.236337797619047,0.383203175378603
"CD79B",-0.172573128342246,0.041279710144928,-0.393811656267726,-0.464514893617022,-0.562120454545455
"CD83",-0.0857638604143949,0.175465714285714,-0.105645159194282,-0.535955357142857,-0.293503761602345
"CD84",0.13276933478735,-0.147220634920635,-0.17054714100065,-0.147105654761905,0.103870688812897
"CDON",-0.146737014834383,0.385975,-0.241935630252101,-0.628185909090909,-0.611875026123302
"CDSN",0.0148297682709448,0.0665294685990339,-0.0253393647192288,-0.229991356382979,0.0438300395256919
"CEACAM21",0.0272341766630317,-0.00176539682539678,-0.14133885640026,-0.414551488095238,-0.168785051294578
"CEP164",0.0775768369932432,0.156406818181818,0.11217201897019,0.306936956521739,0.182841666666667
"CHRDL1",-0.0496141129851655,0.213825,-0.127828599439776,-0.297312121212121,-0.320026018808777
"CKAP4",-0.124952183600713,0.153593719806763,-0.396004197390811,-0.762128989361702,-0.512475938735178
"CKMT1A_CKMT1B",0.0471288660841291,-0.11395,0.175741288515406,-0.0333677272727271,0.695212904911181
"CLEC4A",-0.155771057797164,0.0845266666666671,-0.238102664067577,-0.1188375,-0.28560229604299
"CLEC4C",0.0758331733914939,0.153727619047619,0.131593242365172,0.0786315476190476,0.229843185148999
"CLEC4D",0.138999869138495,0.433109841269841,-0.430721994801819,-0.0231127976190475,0.0101937957987301
"CLEC4G",0.0491499781897495,-0.326691428571428,0.12257131254061,-0.365633630952381,-0.298129848558866
"CLEC7A",-0.13282513368984,-0.157216811594203,-0.272622093023256,-0.495308377659574,-0.175312747035573
"CLIP2",-0.446095877862596,-0.346784444444444,-0.469495094217024,-0.483287797619047,-0.618249438202247
"CLSTN2",0.111189616755793,0.206883574879227,0.0817574872376627,-0.299783111702128,0.164349308300395
"CNTNAP2",-0.0532492039258452,0.270949523809524,0.0455689083820667,-0.33974613095238,-0.179772691744017
"COL9A1",0.0205404034896401,-0.0201358730158729,0.0100694931773879,-0.0700119047619048,0.00318050806057646
"COLEC12",0.0788958341800448,0.0714431818181818,0.0987609803921567,0.111500606060606,0.204777377220481
"CRELD2",-0.105594381223328,0.217625,-0.278422352941177,-0.417204696969697,-0.424143521421108
"CRHBP",-0.234185998780736,0.0536795454545453,-0.493141680672269,-0.560088636363636,-0.705692476489029
"CRIM1",-0.0264781446860396,0.206709090909091,-0.0777833053221286,-0.374546818181818,-0.157409665621735
"CRKL",-0.428545041658199,0.00472954545454551,-0.598920840336135,-0.996829090909091,-1.27742095088819
"CRLF1",-0.103740794553952,0.166440909090909,-0.078044649859944,-0.413874242424242,-0.285976489028213
"CSF1",-0.211949085551717,0.067643181818182,-0.311544033613446,-0.471962424242424,-0.538766666666667
"CSF3",0.190845101351351,-0.109027272727273,0.217294647696477,-0.183025543478261,0.164208764367816
"CST7",-0.446271987400935,0.152609090909091,-0.622485294117647,-0.850342575757576,-0.988230041797283
"CTRC",-0.245833865068076,0.264406818181818,-0.527413193277311,-0.361957121212122,-0.539658986415883
"CTSC",-0.0621488416988418,0.2522,-0.196449551820729,-0.439014090909091,-0.247797178683386
"CTSO",-0.288636051693405,0.0588893719806762,-0.414544157685763,-0.793270079787234,-0.660506027667984
"CXADR",-0.190980796074155,0.185507301587302,-0.140789506172839,-0.647111904761905,-0.590809379579873
"CXCL1",-0.583139422881528,0.228436363636364,-0.787650280112045,-1.27795681818182,-1.66982335423198
"CXCL10",-0.935764661654135,-0.0653181818181817,-1.36254764705882,-1.61827681818182,-2.39238045977012
"CXCL12",0.0984430954391892,0.194675,0.0116560975609756,0.00788614130434784,-0.0522800287356322
"CXCL14",0.338919974662162,0.0815295454545454,0.352958807588076,0.646684782608696,0.92107974137931
"CXCL17",-0.118330213903744,-0.0579716908212564,-0.223496568349404,-0.408869680851064,-0.245301877470355
"CXCL3",-0.744160993700467,0.0707613636363638,-1.2130518487395,-1.48955272727273,-2.12163704284221
"CXCL6",-0.255907932263814,-0.469305410628019,-0.703418491208168,-1.48166436170213,-1.78199446640316
"CXCL8",0.00138195187165779,0.256290338164251,-0.0540015598411796,-0.251697739361702,-0.0241695652173912
"CXCL9",-0.31750072139809,-0.0191886363636364,-0.361707899159664,-0.588137727272727,-0.491315412748171
"DAG1",-0.0714978256451939,0.147604545454545,-0.146801260504202,-0.414925606060606,-0.352746290491118
"DAPP1",-0.172504089422028,-0.0856923809523809,0.00340756985055224,-0.100500595238095,-0.255697117733268
"DBNL",-0.61499518390571,-0.136563636363636,-0.781170084033614,-1.06664106060606,-1.44126489028213
"DECR1",0.195820785169029,0.034386349206349,0.198433235867447,0.226343452380952,0.512012115290669
"DFFA",-0.144693315508021,-0.0108747826086959,-0.340069937606353,-0.698562632978723,-0.414822924901186
"DGKZ",-0.000625126689189182,-0.0517636363636364,0.0141669376693767,-0.220422010869565,-0.104744109195402
"DNAJA2",-0.398111185383244,-0.0439227053140096,-0.709907317073171,-1.32636808510638,-1.07717277667984
"DNER",-0.0866657081893925,-0.0152613636363639,-0.05553487394958,-0.0579037878787876,-0.157147857889237
"DNPH1",-0.13503664905507,0.186825,-0.357081764705882,-0.778440454545455,-0.714594148380355
"DPP10",-0.19686425299891,0.166613650793651,-0.116351397011046,-0.596604464285715,-0.414949193942355
"EDAR",-0.0482939803707743,0.0526857142857143,-0.230132456140351,-0.172679166666667,-0.15407484123107
"EGF",-0.261950670595408,0.034795454545455,-0.269479243697479,-0.455924242424242,-0.657610867293626
"EGLN1",-0.255601559432934,-0.00865365079365099,-0.297271897335932,-0.573585714285714,-0.485596287249633
"EIF4G1",-0.355149376114082,0.00181922705314008,-0.5154622234827,-0.741296143617021,-0.915959337944664
"EIF5A",-0.0597245565878378,-0.0154863636363636,-0.0106340785907859,0.128540217391304,0.0375056034482759
"ENAH",0.158920608108108,-0.161729545454545,0.022344647696477,0.155580706521739,0.399312931034483
"ENPP5",0.191391648039017,0.0819727272727273,0.284747535014005,0.260600454545455,0.557749007314525
"ENPP7",0.0201218248323514,0.38626590909091,0.0581816246498597,-0.112923181818182,0.174188401253919
