"","BL","V04","V06","V08","V10"
"ACTN4",-0.119886201991465,-0.0928997368421053,-0.0588971804511278,-0.0667276923076923,-0.119670833333333
"ADA",0.164550095359186,0.196099335548173,0.106909583333333,0.278674728682171,-0.0273950657894736
"ADAM23",0.0279883026064844,0.173032004429679,0.0428433333333332,0.0323568992248061,-0.0641440789473684
"ADGRE2",-0.141834223352405,0.0031192640692641,-0.0637979746835443,-0.0237533333333334,-0.250700844594595
"AGER",-0.0424012820512821,0.0754544372294372,-0.118014261603376,-0.246324444444444,-0.122628716216216
"AGRN",-0.0720189235007417,0.0365542207792208,-0.148237046413502,-0.224317777777778,-0.264402027027027
"AGRP",0.297559716041534,0.513296234772979,0.157485,0.244493178294574,0.404916447368421
"ALDH3A1",-0.191073364279399,-0.105102380952381,0.0379108860759494,-0.332521602787456,-0.119266916666667
"AMBN",-0.0543696005740254,-0.244249736842105,0.0829355263157895,-0.0312357692307692,-0.0605208333333333
"AMN",-0.266091317866539,-0.190941842105263,-0.296068045112782,-0.0456442307692309,-0.144202777777778
"ANGPT1",0.588555795719432,-0.0332827922077923,-0.187024135021097,0.158191111111111,-0.124064527027027
"ANGPTL2",-0.00781750370841272,0.0637902597402598,0.37948329113924,0.104353333333333,0.228767398648649
"ANGPTL4",-0.262870629370629,-0.227160714285714,-0.168377721518987,-0.307551111111111,-0.391224493243243
"ANXA11",0.604021367521367,-0.208521428571429,0.372938312236287,0.527727700348432,0.608387916666666
"AOC1",0.085341417733523,0.267164210526316,0.0780268796992482,0.117983076923077,0.268270138888889
"ARHGEF12",0.0819376068376068,-0.624161904761905,0.0242771308016883,0.562778571428571,0.0673078333333326
"ARNT",-0.140514438122333,0.309787894736842,-0.277185902255639,0.631515,-0.191379861111111
"ARTN",-0.0600397512556805,0.013105,0.0871875939849624,0.0444151923076923,0.0262909722222222
"ATP5IF1",0.737974019919474,-0.67019696969697,0.404232827004219,0.505637777777777,0.470066722972973
"AXIN1",0.336648717948718,-0.343447619047619,0.252319915611814,0.485734146341463,0.320828833333334
"B4GALT1",-0.122054503072685,-0.0305608225108225,-0.0900284388185654,-0.0711866666666666,-0.219657094594595
"BACH1",0.161761538461538,-0.0670642857142856,0.136556286919831,0.356797038327526,0.163498333333334
"BANK1",0.200336671087533,-0.518823809523809,0.238883037974684,0.56996393728223,0.153305083333334
"BCL2L11",-0.084183267020336,-0.0982619047619049,-0.0424040506329113,-0.139583972125436,-0.295499416666667
"BCR",0.195196581196581,-0.519383333333333,0.0429694514767935,0.239382926829268,0.192209916666667
"BID",0.756868987621574,0.272852380952381,0.462120421940928,0.802655226480836,0.579816916666667
"BSG",-0.0436942784488239,-0.0628984496124031,0.0235829166666667,-0.139471937984496,-0.020885197368421
"BTN2A1",-0.123466666666667,-0.0705160173160173,-0.129150464135021,-0.194026666666667,-0.237041554054054
