"","BL","V04","V06","V08","V10"
"ACTN4",0.09935078125,-0.107213068181818,-0.0937025498891352,-0.133321980676328,-0.0304050287356322
"ADA",0.240178475935829,0.158412777777778,0.00990565410199562,0.0321687943262411,-0.0530499999999999
"ADAM23",0.139833689839572,0.0261148611111111,0.100371618625277,-0.0216664302600473,0.00974772727272732
"ADGRE2",0.275347014595312,-0.0316022727272727,0.44409137254902,0.0852189393939393,0.0488627873563219
"AGER",-0.16822786377709,-0.132592613636364,-0.155912026143791,-0.297863131313131,-0.19012801724138
"AGRN",-0.0883936753648831,-0.136516477272727,0.258640130718955,-0.164159343434344,-0.348600862068966
"AGRP",0.694722415329768,0.408977222222222,0.337404101995566,0.215553427895981,0.641475
"ALDH3A1",-0.47826937584194,-0.366099305555555,-0.385269472502806,-0.350402777777778,-0.55733290529695
"AMBN",-0.0431640625,-0.0629755681818182,-0.13034800443459,-0.0318615942028985,0.0272310344827586
"AMN",-0.3886328125,-0.325267045454545,-0.114115410199557,-0.209809661835749,-0.100910488505747
"ANGPT1",-0.0785572755417956,-0.0504204545454545,0.125366274509804,-0.167251262626263,-0.127978879310345
"ANGPTL2",0.175671074745688,0.235639204545454,0.549489019607843,-0.0130338383838384,0.12045632183908
"ANGPTL4",-0.140976735957541,-0.228380113636364,0.144618039215686,-0.474986111111111,-0.128797126436782
"ANXA11",0.544839335428828,0.37506875,0.449825252525253,0.417826388888889,0.678656500802568
"AOC1",-0.3496171875,-0.313432386363636,-0.00964501108647442,0.0213968599033817,-0.225969396551724
"ARHGEF12",0.0858478670857656,0.0857330555555555,0.039524354657688,0.0190152777777778,0.248495024077047
"ARNT",-0.402540625,-0.325523295454546,-0.18559490022173,-0.181053381642512,-0.471006752873563
"ARTN",-0.0786828125,-0.0882852272727273,-0.0805106430155211,-0.163834541062802,-0.137105747126437
"ATP5IF1",0.360850597080938,0.236857954545454,0.250592679738562,0.240988383838384,0.186842672413793
"AXIN1",0.199916075437809,-0.108725138888889,0.361789562289562,0.0103402777777779,0.391553290529695
"B4GALT1",0.365287394957983,-0.0469829545454545,0.615971503267974,-0.258994696969697,0.00172931034482726
"BACH1",0.177094431971262,-0.00198305555555556,0.0628646464646464,0.0867381944444445,0.369145104333868
