"","BL","V04","V06","V08","V10"
"ACTN4",-0.110761295546559,-0.0468328320802005,-0.203820699614891,0.136822857142857,0.156216666666667
"ADA",0.107031769567331,0.225150634249471,0.135244542682927,-0.0633186046511629,-0.15100866873065
"ADAM23",0.0262671487603306,0.0833467230443975,0.0228660975609756,-0.029498338870432,0.0844448916408669
"ADGRE2",0.075658572740391,0.0896363636363636,0.129693732633529,0.072991282051282,-0.164672372372372
"AGER",0.104772222222222,0.0922204545454546,0.0846899660389009,0.0416745299145299,0.0279671171171171
"AGRN",-0.0808976780794962,0.0888386363636363,-0.0216718431614695,-0.145439829059829,-0.290288138138138
"AGRP",-0.1427643412737,0.151053594080338,-0.031364268292683,-0.382503488372093,-1.04261517027864
"ALDH3A1",0.14439697632527,0.566195887445887,0.204384043970686,-0.145385888501742,-0.0830047843137255
"AMBN",0.00851360108917629,0.0837766917293233,0.000930648267009004,0.050745,0.0711055555555556
"AMN",-0.0089718584070797,0.189944110275689,0.0718275994865212,0.326532142857143,0.4673625
"ANGPT1",0.276460435524072,0.227506818181818,0.0865757023772769,-0.0981606837606837,-0.23366036036036
"ANGPTL2",-0.0450618260527351,-0.0299227272727273,0.011107193578265,-0.314414871794872,-0.478462462462462
"ANGPTL4",-0.132294805194805,-0.139961363636364,0.114223741895647,0.134037094017094,0.0893567567567568
"ANXA11",-0.0870410511544839,0.122496753246753,-0.512965722851432,-0.677250871080139,-1.82779921568627
"AOC1",0.115710107962213,-0.227384837092732,-0.146572946084724,0.269888571428571,0.504552777777778
"ARHGEF12",0.511336611812731,0.239227272727273,0.076219586942039,0.650814285714286,0.828357098039215
"ARNT",0.258055748987854,0.457600751879699,0.022880648267009,0.890786428571429,0.902476388888889
"ARTN",0.189946194690265,-0.0992142857142856,0.0601301026957638,0.181814642857143,0.137997222222222
"ATP5IF1",0.439360711006165,-0.0271545454545454,-0.322850262426675,-0.121336068376069,-0.504543693693694
"AXIN1",0.236707654037505,0.210385281385281,-0.0347734177215187,0.193769860627177,-0.0331057254901963
"B4GALT1",0.122310087891906,0.1032,0.0695240815066379,0.152835384615385,0.107777627627628
"BACH1",0.12848346727899,0.157187012987013,0.0942933044636909,0.268318466898955,0.273167450980392
"BANK1",0.460765144107051,0.390717965367966,0.243645669553631,0.77321393728223,0.746231921568627
"BCL2L11",0.0686368630983016,0.0284863636363635,0.0926127914723518,0.12668031358885,0.173869333333333
"BCR",0.400652647021304,0.0634391774891778,0.166117521652232,0.405425783972126,0.605113960784314
"BID",-0.55830158260422,0.120208658008658,-0.774951332445036,-0.914001916376307,-2.11762462745098
"BSG",0.0188444093339815,0.064362156448203,0.169684054878049,-0.0318543189368771,0.0700489938080495
"BTN2A1",0.0735698412698413,0.0766818181818182,0.146420592775548,0.0935010256410256,0.101334834834835
"BTN3A2",0.152199323893354,-0.0299051948051947,0.194225849433711,0.153370731707317,0.262470980392157
"C1QA",0.0428091152163345,-0.0352362579281184,0.113249298780488,0.0471897009966777,0.102427244582043
"CASP2",0.269281266083376,-0.0208709956709956,0.0404500999333777,0.527867770034843,0.619023529411765
"CCL11",0.278331198347107,0.183948625792812,0.248145853658537,0.380540365448505,0.671900773993808
"CCL13",0.355448164803111,0.181565539112051,0.168592256097561,0.411412458471761,0.387387848297214
"CCL17",0.202426997245179,0.0652886363636365,0.175649737573325,0.0442090598290599,-0.267704804804805
"CCL20",0.346532182790472,-0.00276670190274843,0.397467469512195,0.689674750830565,0.346824148606811
"CCL21",-0.0549783287419652,0.220502272727273,0.161372028403828,-0.0860788034188034,-0.362791441441441
"CCL22",-0.276381726354454,0.0442295454545454,-0.520323834516826,-0.328087008547009,-0.627604954954955
"CCL23",-0.031849691722419,0.192556818181818,-0.0778246681074405,-0.0806439316239316,-0.324941591591592
"CCL24",0.311815158730159,0.259686363636364,0.29645544921272,-0.121018632478632,0.939305105105105
"CCL25",0.0465320588235294,0.17283911205074,0.183393536585366,-0.078556146179402,-0.164668111455108
"CCL26",-0.400270927414211,-0.000592640692640756,-0.690959260493005,-1.20357003484321,-2.09647215686275
"CCL28",-0.180643793851257,-0.161459523809524,-0.373782511658894,-0.280891289198606,-0.446896784313725
"CCL3",-0.0522013649700216,0.365958874458874,-0.180684510326449,-0.356885365853659,-1.04271474509804
"CCL4",0.151302142857143,0.500518181818182,0.182521148502624,0.0619582905982906,-0.211000750750751
"CCL7",-0.00665395007720015,0.147783116883117,0.0880236175882745,-0.203412543554007,-0.291986431372549
"CCN2",-0.0294731864095499,0.0569795454545454,-0.0543177832664401,-0.0553104273504273,-0.209605555555555
"CD160",0.0294683641225084,0.0965970401691332,0.127617469512195,0.110105813953488,-0.0439867647058824
"CD200",0.00374004117344312,0.0896402597402598,0.000270919387075241,0.117390592334495,-0.164626745098039
"CD200R1",0.0637497129735937,0.10984329004329,0.0828374083944038,0.0431365853658536,-0.242030666666667
"CD22",-0.0481191666666667,0.151208456659619,0.083140487804878,0.0622950166112957,-0.0895794117647059
"CD244",0.0138022605736509,0.0746644820295983,-0.000358384146341484,0.12692342192691,-0.0451629256965944
"CD276",-0.0673878525514889,-0.161236363636364,0.0973998765050942,-0.0916769230769231,-0.058195045045045
"CD4",0.150309835438194,0.0843151515151515,0.321364223850766,0.312375783972125,0.577301882352941
"CD40",0.220223373015873,-0.0956590909090909,0.0271351651744367,0.357654358974359,0.461692642642643
