"","BL","V04","V06","V08","V10"
"ACTN4",-0.00912490644490649,-0.0460669047619048,0.144923519163763,-0.203550549450549,-0.2758875
"ADA",0.0575183257918552,-0.0290512987012987,-0.0283349593495935,0.341993333333333,0.123613602941177
"ADAM23",0.00172115384615379,0.0896852813852813,0.0199772357723577,0.0618552380952381,-0.148588970588235
"ADGRE2",-0.217492796092796,-0.0865170995670995,-0.193491707317073,-0.0967446153846154,-0.0860284722222222
"AGER",-0.147173504273504,-0.0167660173160173,-0.202704227642276,-0.287998974358974,-0.150595833333333
"AGRN",0.00887875457875453,-0.0522844155844155,-0.126565203252033,-0.0788779487179487,0.0258861111111112
"AGRP",0.440324057315234,0.362242640692641,0.188849268292683,0.626996666666667,1.44753161764706
"ALDH3A1",-0.335470340604669,-0.671298268398268,-0.166473157894737,-0.187135714285714,-0.0362621323529412
"AMBN",-0.0628832016632017,-0.328026428571429,0.0820048780487805,-0.0819807692307692,-0.131626388888889
"AMN",-0.257119459459459,-0.380885952380952,-0.367895644599303,-0.372176373626374,-0.611565277777778
"ANGPT1",0.31209536019536,-0.26078961038961,-0.273599837398374,0.256351794871795,0.109595833333333
"ANGPTL2",0.0372443223443224,0.093712987012987,0.368376097560976,0.418768205128205,0.707229861111111
"ANGPTL4",-0.130575824175824,-0.0871993506493507,-0.282601463414634,-0.441588205128205,-0.48058125
"ANXA11",0.691062418675851,-0.331018181818182,0.885904035087719,1.20497857142857,2.43618713235294
"AOC1",-0.0303686902286902,0.494549047619048,0.224599825783972,-0.151905494505494,-0.236282638888889
"ARHGEF12",-0.429399004975124,-0.863389177489178,-0.0519424561403508,-0.0880357142857142,-0.761049264705883
"ARNT",-0.398570187110187,-0.147812857142857,-0.300066550522648,-0.259271428571429,-1.09385625
"ARTN",-0.249985945945946,0.112319285714286,0.0270574912891986,-0.137399450549451,-0.11170625
"ATP5IF1",0.298613308913309,-0.643042424242424,0.727083089430894,0.626973846153846,0.974610416666667
"AXIN1",0.099941063911213,-0.5538329004329,0.287093333333333,0.291964285714286,0.35393455882353
"B4GALT1",-0.244364590964591,-0.133760822510822,-0.159552520325203,-0.224022051282051,-0.327434722222222
"BACH1",0.0332780711825487,-0.224251298701299,0.0422629824561405,0.0884785714285714,-0.109669117647059
"BANK1",-0.260428473019518,-0.909541774891775,-0.00476263157894685,-0.20325,-0.592926838235294
"BCL2L11",-0.152820130118638,-0.126748268398268,-0.135016842105263,-0.266264285714286,-0.46936875
"BCR",-0.205456065824722,-0.582822510822511,-0.123148070175438,-0.166042857142857,-0.412904044117647
"BID",1.31517057022579,0.152643722943723,1.23707175438596,1.71665714285714,2.69744154411765
"BSG",-0.0625386877828054,-0.127260606060606,-0.146101138211382,-0.107617619047619,-0.0909341911764706
"BTN2A1",-0.197036507936508,-0.147197835497835,-0.275571056910569,-0.287527692307692,-0.338376388888889
"BTN3A2",-0.32926769996173,-0.163237662337662,-0.237307368421053,-0.334064285714286,-0.452211397058824
"C1QA",-0.0288777526395174,0.0688266233766234,-0.144851382113821,-0.14166380952381,-0.163977573529412
"CASP2",-0.259877994642174,-0.394233766233766,0.0659273684210526,-0.182371428571429,-0.589736029411765
"CCL11",-0.391039102564103,-0.305394805194805,-0.438592520325203,-0.520649047619048,-1.10619485294118
"CCL13",-0.271048906485671,-0.317324675324675,-0.488556422764228,-0.380062380952381,-0.83291580882353
"CCL17",0.0265923076923078,-0.322514935064935,-0.206223577235772,0.105962051282051,0.217877777777778
"CCL20",-0.244998340874811,0.221331818181818,-0.168264552845528,-0.475887619047619,-0.800810661764706
"CCL21",-0.0547914529914529,0.00528658008658012,-0.102229918699187,-0.0406656410256411,0.0881895833333333
"CCL22",0.419060683760684,0.287311471861472,0.720385691056911,0.473715897435897,0.795983333333333
"CCL23",0.0504482295482295,-0.0281564935064935,-0.086409593495935,0.0304194871794872,0.138645138888889
"CCL24",-0.651737851037851,-0.320464285714286,-0.889646504065041,-0.402210256410256,-1.48956388888889
"CCL25",-0.0162041101055806,0.096191341991342,0.120101463414634,0.240747619047619,0.288378308823529
"CCL26",0.965618790662074,0.452047402597403,1.00544719298246,1.43723571428571,2.31130882352941
"CCL28",0.313866016073479,0.200147619047619,0.0909594736842105,0.177335714285714,0.244156617647059
"CCL3",0.424530424799082,-0.0663064935064935,0.312945438596491,0.494371428571428,1.14263566176471
"CCL4",-0.000731501831501835,-0.306370346320346,0.0880235772357724,0.0982994871794872,0.279609027777778
"CCL7",-0.0152532338308458,-0.149980735930736,-0.246921929824561,-0.19105,-0.124631985294118
"CCN2",0.142417094017094,-0.154354761904762,-0.129668292682927,0.155928205128205,-0.0093881944444445
"CD160",-0.111058785822021,-0.0460320346320346,-0.263971219512195,-0.308543333333333,-0.168475735294118
"CD200",-0.0361385380788365,0.00576212121212116,-0.00406087719298243,-0.150864285714286,-0.0204268382352941
"CD200R1",-0.00523176425564487,0.037454329004329,-0.0705384210526315,0.0467214285714286,0.25453125
"CD22",0.0269115384615385,-0.0565125541125541,-0.0175538211382114,0.260454285714286,0.0975919117647059
"CD244",-0.0399566365007541,-0.0845415584415584,-0.0756786991869918,-0.0302538095238095,-0.0857772058823529
"CD276",-0.19725115995116,-0.0358887445887445,-0.316536585365854,-0.29743641025641,-0.343770833333333
"CD4",-0.402189322617681,-0.130762770562771,-0.380857894736842,-0.453185714285714,-0.802743382352941
"CD40",-0.116218437118437,-0.103821428571429,0.0899593495934958,-0.217034358974359,-0.420371527777778
"CD40LG",-0.179315007541478,-0.458131601731602,-0.103283739837398,0.0681323809523808,-0.29986544117647
"CD48",-0.0919529914529915,-0.0354476190476191,-0.155085691056911,-0.164823076923077,-0.248788888888889
"CD58",-0.103993284493285,-0.00474935064935067,-0.141456910569106,-0.100684615384615,-0.0638840277777778
"CD6",-0.125268815987934,-0.0246287878787879,-0.160576910569106,-0.112929523809524,-0.148486397058824
"CD70",0.0810561423650976,0.0697820346320346,0.0207259649122807,-0.0492428571428571,0.280566176470588
"CD79B",-0.164982805429864,-0.138443939393939,-0.144900487804878,-0.198945238095238,-0.124063235294118
"CD83",-0.113720512820513,-0.0201781385281385,-0.152600526315789,-0.242228571428571,-0.125029411764706
"CD84",-0.210208075009568,-0.115203896103896,-0.110211403508772,-0.275014285714286,-0.376423897058823
"CDON",-0.166952747252747,-0.0117376623376623,-0.010020650406504,-0.0788692307692307,0.0577555555555556
"CDSN",-0.160853770739065,-0.293451731601732,-0.331928130081301,-0.451053333333333,-0.173248897058823
"CEACAM21",-0.12190355912744,-0.102890692640693,-0.122131403508772,0.161942857142857,0.27491875
"CEP164",-0.203607027027027,0.608959761904762,-0.311712195121951,-0.285519230769231,-0.105389583333333
"CHRDL1",-0.36044652014652,-0.159051298701299,-0.179049593495935,-0.312508205128205,-0.658079861111111
"CKAP4",0.0101394042232278,-0.0659974025974026,-0.207591544715447,-0.0338680952380952,0.08961875
"CKMT1A_CKMT1B",-0.179859462759463,-0.186057142857143,0.620404715447154,-0.12006,-0.903733333333333
"CLEC4A",0.0518177573670111,-0.0586151515151515,-0.0623556140350877,0.13395,0.061485294117647
"CLEC4C",-0.156700267891313,-0.142677272727273,-0.0142624561403509,-0.137385714285714,-0.094802205882353
"CLEC4D",-0.421679640260237,-0.106236796536797,-0.515033684210526,-0.592021428571429,-0.606523161764706
"CLEC4G",0.0318000765403751,-0.0463774891774891,-0.0791656140350877,-0.224307142857143,0.0752764705882353
"CLEC7A",-0.0742749245852187,-0.189280735930736,-0.335857073170732,-0.446901904761905,-0.0364198529411764
"CLIP2",0.0333157290470725,-0.962152380952381,0.555071052631579,0.2564,0.359269117647059
"CLSTN2",-0.240957315233786,-0.0351060606060606,-0.32138081300813,-0.229310952380952,-0.474490808823529
"CNTNAP2",-0.0862305396096441,-0.15608354978355,-0.183107543859649,-0.0831928571428571,0.351774632352941
"COL9A1",-0.0377293532338308,-0.171071645021645,-0.153413157894737,-0.103742857142857,-0.153149264705882
"COLEC12",-0.164710622710623,-0.102091991341991,-0.150312195121951,-0.150542564102564,-0.154539583333333
"CRELD2",0.116214652014652,-0.135107359307359,0.0952027642276424,-0.0511328205128205,0.522742361111111
"CRHBP",-0.0160308913308914,0.122291558441558,0.0495479674796748,0.147184102564103,0.0525236111111111
"CRIM1",-0.0919357753357752,-0.053033116883117,-0.203819349593496,-0.0513487179487179,-0.0803458333333333
"CRKL",0.0557278388278388,-0.546828138528138,0.475283089430894,0.69112,0.716834722222223
