"","Assay","OlinkID","UniProt","Panel","estimate","Healthy Control","Sporadic","statistic","p.value","parameter","conf.low","conf.high","method","alternative","Adjusted_pval","Threshold","Comparison","EVENT_ID","RBD +/- Hyposomia"
"1","IL1B","OID20427","P01584","Inflammation",-1.38355972222222,-0.885659722222222,0.4979,-9.08192412380611,1.22792431860616e-13,73.543092853615,-1.68713939338645,-1.07998005105799,"Welch Two Sample t-test","two.sided",4.51876149247065e-11,"Significant","Healthy Control vs Sporadic","V10",NA
"2","IL10","OID20431","P22301","Inflammation",4.67310972222222,-0.635856944444445,-5.30896666666667,9.79529322368045,4.18943812186547e-13,48.7674360009438,3.71427181078977,5.63194763365467,"Welch Two Sample t-test","two.sided",7.70856614423246e-11,"Significant","Healthy Control vs Sporadic","V10",NA
"3","ITGA6","OID20528","P23229","Inflammation",-1.58219490196078,-1.20410666666667,0.378088235294118,-8.8045786947384,2.56063330346222e-12,58.6034444605746,-1.94182744145789,-1.22256236246368,"Welch Two Sample t-test","two.sided",3.14104351891365e-10,"Significant","Healthy Control vs Sporadic","V10",NA
"4","IL13","OID20430","P35225","Inflammation",-3.06498888888889,-3.3415,-0.276511111111111,-8.60351538328642,6.57745515285769e-11,43.1273474224234,-3.78337098384212,-2.34660679393565,"Welch Two Sample t-test","two.sided",6.05125874062907e-09,"Significant","Healthy Control vs Sporadic","V10",NA
"5","SIT1","OID20462","Q9Y3P8","Inflammation",0.704461111111111,0.100072222222222,-0.604388888888889,7.06249717775677,8.4987986343947e-10,71.9571483697554,0.505617584263547,0.903304637958676,"Welch Two Sample t-test","two.sided",6.2551157949145e-08,"Significant","Healthy Control vs Sporadic","V10",NA
"6","RAB6A","OID20608","P20340","Inflammation",-1.20755294117647,-0.7178,0.489752941176471,-7.76508121325238,1.59059301493498e-09,40.2220835583161,-1.52179766983769,-0.893308212515253,"Welch Two Sample t-test","two.sided",9.75563715826788e-08,"Significant","Healthy Control vs Sporadic","V10",NA
"7","IL20","OID20453","Q9NYY1","Inflammation",1.01810833333333,0.146291666666667,-0.871816666666667,7.11899953449068,3.61098701799521e-09,50.7766674261661,0.730967414944059,1.30524925172261,"Welch Two Sample t-test","two.sided",1.89834746088891e-07,"Significant","Healthy Control vs Sporadic","V10",NA
"8","IL5","OID20472","P05113","Inflammation",4.25605,-1.70192777777778,-5.95797777777778,7.05469990301504,6.12765611067561e-09,47.8994241166461,3.0429826274219,5.4691173725781,"Welch Two Sample t-test","two.sided",2.54399567820959e-07,"Significant","Healthy Control vs Sporadic","V10",NA
"9","FGF5","OID20490","P12034","Inflammation",-0.926681944444444,0.118084722222222,1.04476666666667,-7.70572153473034,6.22172856083867e-09,33.6700448665294,-1.17116577362795,-0.682198115260943,"Welch Two Sample t-test","two.sided",2.54399567820959e-07,"Significant","Healthy Control vs Sporadic","V10",NA
"10","ESM1","OID20758","Q9NQ30","Inflammation",-0.852568318318318,1.01165945945946,1.86422777777778,-6.8906550963018,3.92939868689938e-08,37.0674525544946,-1.10325005673327,-0.601886579903365,"Welch Two Sample t-test","two.sided",1.44601871677897e-06,"Significant","Healthy Control vs Sporadic","V10",NA
"11","CCL26","OID20546","Q9Y258","Inflammation",-2.09647215686275,0.507086666666667,2.60355882352941,-7.34606939212882,5.03133071815955e-08,28.271860228904,-2.68080762586852,-1.51213668785697,"Welch Two Sample t-test","two.sided",1.68320882207519e-06,"Significant","Healthy Control vs Sporadic","V10",NA
"12","PTH1R","OID20571","Q03431","Inflammation",1.10639592156863,0.651925333333333,-0.454470588235294,7.15727894222281,8.58104306017935e-08,28.0447987684621,0.789769136729901,1.42302270640735,"Welch Two Sample t-test","two.sided",2.63151987178833e-06,"Significant","Healthy Control vs Sporadic","V10",NA
"13","SULT2A1","OID20508","Q06520","Inflammation",-1.18109364705882,-0.795676,0.385417647058824,-7.26052946131337,1.19269496082633e-07,25.4039884250701,-1.51585545251019,-0.846331841607456,"Welch Two Sample t-test","two.sided",3.37624419680068e-06,"Significant","Healthy Control vs Sporadic","V10",NA
"14","BID","OID20517","P55957","Inflammation",-2.11762462745098,-0.897589333333333,1.22003529411765,-6.91357516019877,1.59275634271935e-07,28.1117472259859,-2.74493837107363,-1.49031088382833,"Welch Two Sample t-test","two.sided",4.18667381514802e-06,"Significant","Healthy Control vs Sporadic","V10",NA
"15","PROK1","OID20543","P58294","Inflammation",-1.14173058823529,0.15414,1.29587058823529,-6.26066061774572,2.37129333181676e-07,38.4990162954496,-1.51075383505237,-0.77270734141822,"Welch Two Sample t-test","two.sided",5.81757297405711e-06,"Significant","Healthy Control vs Sporadic","V10",NA
