"","Assay","OlinkID","UniProt","Panel","estimate","Healthy Control","Sporadic","statistic","p.value","parameter","conf.low","conf.high","method","alternative","Adjusted_pval","Threshold","Comparison","EVENT_ID","RBD +/- Hyposomia"
"1","LAT","OID20640","O43561","Inflammation",-0.512782845744681,-2.59637659574468,-2.08359375,-4.0800937767291,0.000221946828520344,38.0746068108376,-0.767190676124032,-0.25837501536533,"Welch Two Sample t-test","two.sided",0.067503103335946,"Non-significant","Healthy Control vs Sporadic","V08",NA
"2","PKLR","OID20682","P30613","Inflammation",-0.790634090909091,-5.70433409090909,-4.9137,-3.93569489365099,0.000678441475550272,22.5763594506019,-1.20663461533373,-0.374633566484447,"Welch Two Sample t-test","two.sided",0.067503103335946,"Non-significant","Healthy Control vs Sporadic","V08",NA
"3","IL5","OID20472","P05113","Inflammation",3.46833016304348,-2.37462608695652,-5.84295625,3.80259663392305,0.000766482620304686,26.3778150987954,1.59479771397682,5.34186261211014,"Welch Two Sample t-test","two.sided",0.067503103335946,"Non-significant","Healthy Control vs Sporadic","V08",NA
"4","SIT1","OID20462","Q9Y3P8","Inflammation",0.522546195652174,-0.316591304347826,-0.8391375,3.80367521623186,0.000980444106100236,21.8694077368061,0.237540315565725,0.807552075738623,"Welch Two Sample t-test","two.sided",0.067503103335946,"Non-significant","Healthy Control vs Sporadic","V08",NA
"5","FKBP1B","OID20618","P68106","Inflammation",0.369635505319149,1.62190425531915,1.25226875,3.81157763454683,0.00099043894084389,21.4181892327408,0.168200213001318,0.57107079763698,"Welch Two Sample t-test","two.sided",0.067503103335946,"Non-significant","Healthy Control vs Sporadic","V08",NA
"6","IL18R1","OID20652","Q13478","Inflammation",-0.931917686170213,-5.45414893617021,-4.52223125,-3.54169538578491,0.00184988342541928,21.8063796698965,-1.47789191945326,-0.385943452887163,"Welch Two Sample t-test","two.sided",0.067503103335946,"Non-significant","Healthy Control vs Sporadic","V08",NA
"7","EIF4G1","OID20625","Q04637","Inflammation",-0.741296143617021,-2.15861489361702,-1.41731875,-3.49487040775597,0.00200536573062045,22.4378173660504,-1.18068775162225,-0.301904535611791,"Welch Two Sample t-test","two.sided",0.067503103335946,"Non-significant","Healthy Control vs Sporadic","V08",NA
"8","CTSO","OID20660","P43234","Inflammation",-0.793270079787234,1.02343617021277,1.81670625,-3.42383854319969,0.00201461995594565,26.5841244191985,-1.26900746945216,-0.317532690122309,"Welch Two Sample t-test","two.sided",0.067503103335946,"Non-significant","Healthy Control vs Sporadic","V08",NA
"9","CEP164","OID20441","Q9UPV0","Inflammation",0.306936956521739,0.176736956521739,-0.1302,3.32577653049996,0.0022234240599714,31.9732025839717,0.118941561527363,0.494932351516115,"Welch Two Sample t-test","two.sided",0.067503103335946,"Non-significant","Healthy Control vs Sporadic","V08",NA
"10","AOC1","OID20452","P19801","Inflammation",0.554222554347826,-0.451458695652174,-1.00568125,3.37665882451236,0.0023534481361729,25.5618721103497,0.216559816278592,0.891885292417061,"Welch Two Sample t-test","two.sided",0.067503103335946,"Non-significant","Healthy Control vs Sporadic","V08",NA
"11","NFATC3","OID20470","Q12968","Inflammation",0.618341032608696,0.0524847826086957,-0.56585625,3.36944619790133,0.00251308066881138,24.284792492481,0.239821369199286,0.996860696018105,"Welch Two Sample t-test","two.sided",0.067503103335946,"Non-significant","Healthy Control vs Sporadic","V08",NA
"12","DGKZ","OID20466","Q13574","Inflammation",-0.220422010869565,0.0931217391304348,0.31354375,-3.23021163853643,0.00251531869143797,38.9525590754565,-0.358451035513467,-0.0823929862256635,"Welch Two Sample t-test","two.sided",0.067503103335946,"Non-significant","Healthy Control vs Sporadic","V08",NA
"13","MICB_MICA","OID20593","Q29980_Q29983","Inflammation",-0.877045535714285,-2.72103125,-1.84398571428571,-3.22983870254791,0.00256184427350316,37.8729725724123,-1.42681956769134,-0.327271503737232,"Welch Two Sample t-test","two.sided",0.067503103335946,"Non-significant","Healthy Control vs Sporadic","V08",NA
"14","CXCL14","OID20458","O95715","Inflammation",0.646684782608696,-0.192665217391304,-0.83935,3.35243384450018,0.00273758491799094,23.182974504186,0.247814750379246,1.04555481483814,"Welch Two Sample t-test","two.sided",0.067503103335946,"Non-significant","Healthy Control vs Sporadic","V08",NA
"15","ITGA6","OID20528","P23229","Inflammation",-1.20089077380952,-2.32029791666667,-1.11940714285714,-3.4397605940842,0.00275148519032388,18.9660058265105,-1.93169693354619,-0.470084614072856,"Welch Two Sample t-test","two.sided",0.067503103335946,"Non-significant","Healthy Control vs Sporadic","V08",NA
"16","DFFA","OID20620","O00273","Inflammation",-0.698562632978723,-2.18680638297872,-1.48824375,-3.30329203225776,0.00314956987654918,22.6515976144847,-1.13640396759555,-0.260721298361897,"Welch Two Sample t-test","two.sided",0.0724401071606311,"Non-significant","Healthy Control vs Sporadic","V08",NA
"17","IL13","OID20430","P35225","Inflammation",-0.48125027173913,-0.76665652173913,-0.28540625,-3.26320891905584,0.0033699998538244,23.384173551816,-0.786053863955191,-0.17644667952307,"Welch Two Sample t-test","two.sided",0.0729505850710223,"Non-significant","Healthy Control vs Sporadic","V08",NA
"18","TNFRSF11B","OID20735","O00300","Inflammation",-0.907375909090909,2.48208409090909,3.38946,-3.14001767154821,0.00424585962722387,25.4458246457397,-1.50199576801577,-0.312756050166049,"Welch Two Sample t-test","two.sided",0.0801171579957022,"Non-significant","Healthy Control vs Sporadic","V08",NA
"19","EPO","OID20522","P01588","Inflammation",0.29130119047619,-1.49154166666667,-1.78284285714286,3.12674166122656,0.00445580406589271,24.9118216269746,0.0993909551043843,0.483211425847996,"Welch Two Sample t-test","two.sided",0.0801171579957022,"Non-significant","Healthy Control vs Sporadic","V08",NA
"20","HGF","OID20656","P14210","Inflammation",-0.928615159574468,-0.611427659574468,0.3171875,-3.11864240074514,0.00467047632472239,24.0206675455513,-1.54313904044815,-0.314091278700784,"Welch Two Sample t-test","two.sided",0.0801171579957022,"Non-significant","Healthy Control vs Sporadic","V08",NA
"21","NUB1","OID20510","Q9Y5A7","Inflammation",-0.589603571428571,-1.168575,-0.578971428571429,-3.15939680368957,0.0048790599665013,20.2491139346048,-0.978577260893785,-0.200629881963357,"Welch Two Sample t-test","two.sided",0.0801171579957022,"Non-significant","Healthy Control vs Sporadic","V08",NA
"22","TPP1","OID20750","O14773","Inflammation",-0.231004242424243,4.47330909090909,4.70431333333333,-3.13660178241802,0.00497437768330863,21.0480898085427,-0.384142202015753,-0.0778662828327323,"Welch Two Sample t-test","two.sided",0.0801171579957022,"Non-significant","Healthy Control vs Sporadic","V08",NA
"23","IL10","OID20431","P22301","Inflammation",3.23267173913043,-2.71402826086957,-5.9467,3.13373048083747,0.00521481731044567,20.0622928414413,1.08127642024856,5.3840670580123,"Welch Two Sample t-test","two.sided",0.0801171579957022,"Non-significant","Healthy Control vs Sporadic","V08",NA
"24","CCL28","OID20569","Q9NRJ3","Inflammation",-0.493361309523809,-1.55410416666667,-1.06074285714286,-2.99659945419591,0.00540552125890025,30.2942779880853,-0.829464936034322,-0.157257683013296,"Welch Two Sample t-test","two.sided",0.0801171579957022,"Non-significant","Healthy Control vs Sporadic","V08",NA
"25","TBC1D5","OID20521","Q92609","Inflammation",-0.376269047619048,-1.33548333333333,-0.959214285714286,-2.9961309571419,0.0060938279767993,25.0045532787784,-0.634913768291575,-0.117624326946521,"Welch Two Sample t-test","two.sided",0.0801171579957022,"Non-significant","Healthy Control vs Sporadic","V08",NA
